Source,Target,Type,Id,Label,timeset,Weight
singularity,filosofia,Undirected,583,2,,2
singularity,wow,Undirected,584,1,,1
singularity,reference,Undirected,585,5,,5
singularity,sociology,Undirected,586,1,,1
singularity,writing,Undirected,587,3,,3
singularity,advanced,Undirected,588,1,,1
singularity,crazy,Undirected,589,1,,1
singularity,cdt-thesis,Undirected,590,1,,1
singularity,creative,Undirected,591,1,,1
singularity,creativity,Undirected,592,1,,1
singularity,mythology,Undirected,593,1,,1
singularity,religion,Undirected,594,4,,4
singularity,fix,Undirected,595,1,,1
singularity,center,Undirected,596,1,,1
singularity,isotope,Undirected,597,1,,1
singularity,philosophy,Undirected,598,6,,6
singularity,transhuman,Undirected,599,1,,1
singularity,earth,Undirected,600,1,,1
singularity,transhumanism,Undirected,601,3,,3
singularity,research,Undirected,602,4,,4
singularity,health,Undirected,603,1,,1
singularity,ai,Undirected,604,7,,7
singularity,space,Undirected,605,1,,1
singularity,economic,Undirected,606,1,,1
particles,isotope,Undirected,607,1,,1
wikipedia,guerilla,Undirected,608,4,,4
wikipedia,guerrilla,Undirected,609,2,,2
wikipedia,autonomous,Undirected,610,3,,3
wikipedia,counterterrorism,Undirected,611,2,,2
wikipedia,isotope,Undirected,612,3,,3
intelligence,counterterrorism,Undirected,613,1,,1
fbi,counterterrorism,Undirected,614,1,,1
wikipediapage,guerilla,Undirected,615,1,,1
car,autonomous,Undirected,616,1,,1
sla,guerilla,Undirected,617,1,,1
interesting,isotope,Undirected,618,1,,1
international,guerilla,Undirected,619,1,,1
internet,autonomous,Undirected,620,1,,1
internetculture,guerilla,Undirected,621,1,,1
guerilla,guerillagardening,Undirected,622,1,,1
guerilla,guerrilla,Undirected,623,2,,2
guerilla,guerrillagardening,Undirected,624,1,,1
guerilla,autonomous,Undirected,625,1,,1
guerilla,activism,Undirected,626,3,,3
guerilla,people,Undirected,627,1,,1
guerilla,social,Undirected,628,1,,1
guerilla,words,Undirected,629,1,,1
guerilla,counterterrorism,Undirected,630,1,,1
guerilla,reference,Undirected,631,2,,2
guerilla,advert,Undirected,632,1,,1
guerilla,advertising,Undirected,633,1,,1
guerilla,isotope,Undirected,634,1,,1
guerilla,earth,Undirected,635,1,,1
guerilla,agriculture,Undirected,636,1,,1
guerilla,research,Undirected,637,1,,1
guerilla,nature,Undirected,638,1,,1
guerilla,space,Undirected,639,1,,1
guerilla,eco,Undirected,640,1,,1
guerilla,ecology,Undirected,641,1,,1
